Taxonomy#ID	UniProt#protein	RefSeq#gene	RefSeq#cds	BioProject#ID	BioProject#gene	BioProject#cds
264203	1928	1807	1736	PRJNA58095	1807	1736
264462	3583	3628	3586	PRJNA61595	3628	3586
264730	5045	5437	5172	PRJNA58099	5437	5172
264731	2761	2860	2763	PRJNA47507	2860	2763
264732	2451	2613	2463	PRJNA58051	2613	2463
265072	2609	2822	2753	PRJNA58049	2822	2753
265311	683	717	682	PRJNA58055	717	682
265669	2818	2934	2821	PRJNA57689	2934	2821
266117	3127	3281	3140	PRJNA58057	3281	3140
266264	6480	6820	6477	PRJNA57815	6820	6477
266265	8592	9043	8702	PRJNA57823	9043	8702
266779	4530	4684	4543	PRJNA58069	4684	4543
266834	6169	6292	6218	PRJNA57603	6292	6218
266835	7255	7333	7272	PRJNA57601	7333	7272
266940	4674	4778	4681	PRJNA58067	4778	4681
267377	1722	1772	1722	PRJNA58035	1772	1722
267608	5028	5187	5113	PRJNA57593	5187	5113
267671	3654	3762	3667	PRJNA58065	3762	3667
267747	2294	2368	2297	PRJNA58101	2368	2297
267748	628	667	633	PRJNA58077	667	633
268739		2897	2749	PRJNA190182	2897	2749
269084	2555	2582	2523	PRJNA58235	2582	2523
269482	7410	7589	7354	PRJNA58075	7589	7354
269483	7715	7823	7716	PRJNA58073	7823	7716
269484	921	984	925	PRJNA58071	984	925
269796	3835	3917	3838	PRJNA57655	3917	3838
269797	3616	3830	3624	PRJNA57715	3830	3624
269798	3771	3837	3785	PRJNA57651	3837	3785
269799	3502	3702	3568	PRJNA57731	3702	3568
269800	3085	3161	3087	PRJNA57703	3161	3087
271065	13	4082	3981	PRJNA77119	4082	3981
271848	5562	11408	11283	PRJNA54655	5696	5651
271848	5562	11408	11283	PRJNA58081	5712	5632
272123	5802	6258	5838	PRJNA183339	6258	5838
272557	1701	1752	1700	PRJNA57757	1752	1700
272558	4006	4170	4065	PRJNA57791	4170	4065
272559	4234	4395	4231	PRJNA57639	4395	4231
272560	5717	5935	5728	PRJNA57733	5935	5728
272561	895	940	895	PRJNA57637	940	895
272562	3852	4021	3847	PRJNA57677	4021	3847
272563	3784	4019	3798	PRJNA57679	4019	3798
272564	4852	5049	4883	PRJNA57749	5049	4883
272568	5905	7646	7352	PRJNA59075	3646	3501
272568	5905	7646	7352	PRJNA61587	4000	3851
272569	4237	4304	4243	PRJNA57719	4304	4243
272620	5126	5305	5185	PRJNA57619	5305	5185
272621	1859	1938	1864	PRJNA57685	1938	1864
272622	2442	2742	2504	PRJNA57983	2742	2504
272623	2225	2425	2321	PRJNA57671	2425	2321
272624	2949	3003	2943	PRJNA57609	3003	2943
272626	3018	3145	3043	PRJNA61567	3145	3043
272630	6234	6345	6212	PRJNA57605	6345	6212
272631	1603	2770	1605	PRJNA57697	2770	1605
272632	978	1053	1017	PRJNA58031	1053	1017
272633	1028	1069	1037	PRJNA57729	1069	1037
272634	687	732	688	PRJNA57709	732	688
272635	778	813	782	PRJNA61569	813	782
272831	1865	2046	1917	PRJNA57825	2046	1917
272843	2015	2089	2012	PRJNA57627	2089	2012
272844	2116	1878	1781	PRJNA62903	1878	1781
272942	3632	3740	3642	PRJNA47509	3740	3642
272943	4244	4370	4242	PRJNA57653	4370	4242
272944	1372	1414	1374	PRJNA57633	1414	1374
272947	835	888	835	PRJNA61565	888	835
272951	1226					
273036	2513	2663	2509	PRJNA57661	2663	2509
273057	2940	3034	2978	PRJNA57721	3034	2978
273063	2805	2875	2826	PRJNA57807	2875	2826
273068	2545	2721	2588	PRJNA57813	2721	2588
273075	1483	1532	1484	PRJNA61573	1532	1484
273116	1524	1550	1501	PRJNA57751	1550	1501
273119	611	653	614	PRJNA57711	653	614
273121	2028	2092	2043	PRJNA61591	2092	2043
273123	4016	4238	4038	PRJNA58157	4238	4038
278137	5225	5552	5349	PRJNA61403	5552	5349
278197	1755	1847	1755	PRJNA57981	1847	1755
279010	4621	8629	8344	PRJNA58097	4332	4173
279010	4621	8629	8344	PRJNA58199	4297	4171
279238	3917	4030	3937	PRJNA57747	4030	3937
279808	2640	2769	2692	PRJNA62919	2769	2692
281090	2001	2375	2030	PRJNA57759	2375	2030
281309	5169	5343	5197	PRJNA58089	5343	5197
281310	1792	1899	1792	PRJNA58093	1899	1792
282458	2640	2834	2650	PRJNA57839	2834	2650
282459	2602	2738	2590	PRJNA57841	2738	2590
283165	1146	1356	1142	PRJNA57635	1356	1142
283166	1481	1665	1488	PRJNA57745	1665	1488
283942	2608	2707	2628	PRJNA58087	2707	2628
286636	1879	1971	1886	PRJNA58105	1971	1886
288000	7570	7807	7621	PRJNA58505	7807	7621
288681	5638	5796	5641	PRJNA58103	5796	5641
288705	3421	3558	3507	PRJNA58899	3558	3507
289376	1982	2089	2033	PRJNA59257	2089	2033
289380	2558	2765	2619	PRJNA58117	2765	2619
289397	742	868	765	PRJNA60859	868	765
290315	2419	2576	2434	PRJNA58127	2576	2434
290317	2579	2799	2650	PRJNA58133	2799	2650
290318	1750	1824	1753	PRJNA58129	1824	1753
290338	5019	30	28	PRJNA58143	30	28
290339	4421	4562	4422	PRJNA58145	4562	4422
290340	4565	4780	4588	PRJNA58109	4780	4588
290397	4345	4419	4346	PRJNA58135	4419	4346
290398	3302	3409	3298	PRJNA62921	3409	3298
290399	4453	4622	4523	PRJNA58141	4622	4523
290400	4271	4336	4283	PRJNA58147	4336	4283
290402	5003	0	0	PRJNA58137	0	0
290434	1268	969	929	PRJNA58125	969	929
290512	2319	2455	2327	PRJNA58151	2455	2327
290633	2626	2731	2664	PRJNA58239	2731	2664
290847	1412	1495	1415	PRJNA161925	1495	1415
291272	610	658	610	PRJNA58329	658	610
291331	4380	4281	4065	PRJNA58155	4281	4065
292414	3849	3956	3864	PRJNA58193	3956	3864
292415	2826	0	0	PRJNA58189	0	0
292459	3313	0	0	PRJNA58165	0	0
292563	2831	2941	2837	PRJNA183337	2941	2837
292564	3258	3437	3280	PRJNA182931	3437	3280
292805	805	940	805	PRJNA58107	940	805
293613	1091	1126	1090	PRJNA58159	1126	1090
293614	1257	1293	1258	PRJNA58161	1293	1258
293653		1950	1865	PRJNA58337	1950	1865
293826	4467	4940	4625	PRJNA58171	4940	4625
295319	4084	4403	4093	PRJNA58201	4403	4093
295358	691	727	691	PRJNA58205	727	691
295405	4597	4716	4624	PRJNA58195	4716	4624
296591	5439	5626	5453	PRJNA58207	5626	5453
297245	2919	3058	2934	PRJNA58209	3058	2934
297246	3147	3278	3166	PRJNA58211	3278	3166
298386	3	5702	5489	PRJNA62923	5702	5489
298653	7134	7377	7191	PRJNA58367	7377	7191
298654	7079	7263	7083	PRJNA42615	7263	7083
299768	1590	2000	1915	PRJNA58221	2000	1915
300267	3897	4892	4501	PRJNA58213	4892	4501
300268	3938	4613	4281	PRJNA58215	4613	4281
300269	4068	4804	4470	PRJNA58217	4804	4470
300852	2321	2288	2235	PRJNA58223	2288	2235
302409	948	989	950	PRJNA58245	989	950
304371	2994	3064	3004	PRJNA42887	3064	3004
306263	1545	1613	1545	PRJNA58115	1613	1545
306537	2064	2181	2120	PRJNA58399	2181	2120
309798	1481	1541	1482	PRJNA59253	1541	1482
309799	1913	1973	1912	PRJNA59439	1973	1912
309800	4813	4130	4015	PRJNA46845	4130	4015
309801	2858	2904	2854	PRJNA59341	2904	2854
309803	1939	1988	1937	PRJNA59065	1988	1937
309807	2812	2898	2833	PRJNA58513	2898	2833
311402	5353	5362	5211	PRJNA58249	5362	5211
311403	6700	6820	6684	PRJNA58269	6820	6684
311424	1427	1491	1439	PRJNA42393	1491	1439
311458	2590					
312153	2074	2132	2077	PRJNA58611	2132	2077
312309	3816	3987	3817	PRJNA58163	3987	3817
313595	3455	3950	3526	PRJNA54205	3950	3526
313596	3211	3257	3209	PRJNA58285	3257	3209
313603	3411	3459	3411	PRJNA51877	3459	3411
313624	4779					
314225	2999	3059	3011	PRJNA58299	3059	3011
314260	2687	2737	2687	PRJNA51641	2737	2687
314275	3729	4141	4084	PRJNA58251	4141	4084
314315	1872	1963	1879	PRJNA58281	1963	1879
314565	4249	4368	4271	PRJNA57595	4368	4271
314723	888	982	877	PRJNA59225	982	877
314724	822	853	818	PRJNA58311	853	818
315277	917	963	919	PRJNA58333	963	919
315456	1428	1551	1512	PRJNA58331	1551	1512
315730	5650	5983	5653	PRJNA58315	5983	5653
315749	3841	4176	3844	PRJNA58317	4176	3844
315750	3676	3822	3679	PRJNA59017	3822	3679
316055	4851	4972	4878	PRJNA58445	4972	4878
316056	4864	5016	4886	PRJNA58443	5016	4886
316057	4392	4492	4397	PRJNA58441	4492	4397
316058	4680	4772	4683	PRJNA58439	4772	4683
316067	3797	3901	3798	PRJNA58543	3901	3798
316273	4629	4856	4726	PRJNA58321	4856	4726
316274	5254	5364	5279	PRJNA58599	5364	5279
316275	3516	4421	3911	PRJNA59251	4421	3911
316278	2528	2582	2534	PRJNA61609	2582	2534
316279	2301	2357	2306	PRJNA58323	2357	2306
316385	3990	4356	4128	PRJNA58979	4356	4128
316401	4819	5086	4874	PRJEA161993	5086	4874
316407	2	4440	4217	PRJNA161931	4440	4217
317025	2187	0	0	PRJNA58183	0	0
317655	3186	3260	3195	PRJNA58351	3260	3195
317936	5185	5538	5237	PRJNA182932	5538	5237
318161	3727	3905	3754	PRJNA58263	3905	3754
318167	3990	4199	4029	PRJNA58265	4199	4029
318586	5019	5177	5077	PRJNA58187	5177	5077
319017	7077	7427	7098	PRJNA82711	7427	7098
319224	3948	4134	3972	PRJNA58267	4134	3972
319225	2075	2137	2083	PRJNA58175	2137	2083
319701	1884	1977	1894	PRJNA58335	1977	1894
319795	3006	3142	3054	PRJNA58275	3142	3054
320371	7474	7593	7497	PRJNA54285	7593	7497
320372	6329	6419	6344	PRJNA58391	6419	6344
320373	7102	7194	7116	PRJNA58389	7194	7116
320388	4981	5290	5184	PRJNA58387	5290	5184
320389	5182	5925	5415	PRJNA58385	5925	5415
320483	963	995	940	PRJNA58577	995	940
321314	4607	4882	4627	PRJNA58017	4882	4627
321327	2748	2897	2760	PRJNA58535	2897	2760
321332	2835	2942	2862	PRJNA58537	2942	2862
321956	1682	2033	1715	PRJNA57987	2033	1715
321967	2709	2926	2768	PRJNA57985	2926	2768
